Current,Voltage
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.161
0.0,4.1607
0.0,4.161
